id,prefix_id,supplier_id,group_line_id,group_line_name,status_id,created_on,created_by,updated_on,updated_by,transfer_switch
322,8,90,10322,SPONGEBOB SQUAREPANTS,1,NULL,NULL,2021-04-29 11:58:28.000,1,0
321,8,NULL,10321,SPAZIO ,1,NULL,NULL,NULL,NULL,NULL
320,8,NULL,10320,SONIA RYKIEL,1,NULL,NULL,NULL,NULL,NULL
319,8,NULL,10319,SONIA FORTUNA,1,NULL,NULL,NULL,NULL,NULL
318,8,NULL,10318,SMART,1,NULL,NULL,NULL,NULL,NULL
317,8,NULL,10317,SLAVIA,1,NULL,NULL,NULL,NULL,NULL
316,8,NULL,10316,SILCAT,1,NULL,NULL,NULL,NULL,NULL
315,8,129,10315,SHISEIDO,1,NULL,NULL,2021-04-29 11:58:02.000,1,0
314,8,NULL,10314,SHEAFFER ,1,NULL,NULL,NULL,NULL,NULL
313,8,NULL,10313,SENSAI,1,NULL,NULL,NULL,NULL,NULL
312,8,NULL,10312,SCHNEIDER'S VIENNA,1,NULL,NULL,NULL,NULL,NULL
311,8,NULL,10311,SCHNEIDER,1,NULL,NULL,NULL,NULL,NULL
310,8,NULL,10310,SCAPA ,1,NULL,NULL,NULL,NULL,NULL
309,8,NULL,10309,SAMBA,1,NULL,NULL,NULL,NULL,NULL
308,8,NULL,10308,RUE PRINCESSE,1,NULL,NULL,NULL,NULL,NULL
307,8,NULL,10307,ROYAL DOULTON ,1,NULL,NULL,NULL,NULL,NULL
306,8,NULL,10306,ROYAL,1,NULL,NULL,NULL,NULL,NULL
305,8,NULL,10305,ROSSI,1,NULL,NULL,NULL,NULL,NULL
304,8,NULL,10304,RONSON,1,NULL,NULL,NULL,NULL,NULL
303,8,NULL,10303,ROMA,1,NULL,NULL,NULL,NULL,NULL
302,8,33,10302,ROBERTO CAVALLI,1,NULL,NULL,2020-10-13 16:20:57.000,1,NULL
301,8,NULL,10301,RIZLA,1,NULL,NULL,NULL,NULL,NULL
300,8,NULL,10300,REYLAN S. A.,1,NULL,NULL,NULL,NULL,NULL
299,8,NULL,10299,REVUE THOMMEN,1,NULL,NULL,NULL,NULL,NULL
298,8,NULL,10298,REVILLON,1,NULL,NULL,NULL,NULL,NULL
297,8,NULL,10297,RENE LEZARD,1,NULL,NULL,NULL,NULL,NULL
296,8,NULL,10296,REBECCA,1,NULL,NULL,NULL,NULL,NULL
295,8,NULL,10295,RAYMOND WEIL,1,NULL,NULL,NULL,NULL,NULL
294,8,NULL,10294,RASNA,1,NULL,NULL,NULL,NULL,NULL
